Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
415,1,STEP,10135317530565,10135319747193,2216628,-1
416,1,STEP,10135319815322,10135322382050,2566728,-1
417,1,STEP,10135322450859,10135325217314,2766455,-1
418,1,STEP,10135325280603,10135328039503,2758900,-1
419,1,STEP,10135328113632,10135330828219,2714587,-1
420,1,STEP,10135330890887,10135332877251,1986364,-1
421,1,STEP,10135332944948,10135335736540,2791592,-1
422,1,STEP,10135335800440,10135338555994,2755554,-1
423,1,STEP,10135338620415,10135340642446,2022031,-1
424,1,STEP,10135340710434,10135343440580,2730146,-1
425,1,STEP,10135343504310,10135346384349,2880039,-1
426,1,STEP,10135346449361,10135348960494,2511133,-1
427,1,STEP,10135349022101,10135351832748,2810647,-1
428,1,STEP,10135351897600,10135354068312,2170712,-1
429,1,STEP,10135354135619,10135356672510,2536891,-1
430,1,STEP,10135356733775,10135359334577,2600802,-1
431,1,STEP,10135359398227,10135361737236,2339009,-1
432,1,STEP,10135361799784,10135363893029,2093245,-1
433,1,STEP,10135363959484,10135366612955,2653471,-1
434,1,STEP,10135366676175,10135369394859,2718684,-1
435,1,STEP,10135369458719,10135372248647,2789928,-1
436,1,STEP,10135372312428,10135375135859,2823431,-1
437,1,STEP,10135375198968,10135378048940,2849972,-1
438,1,STEP,10135378114333,10135381028706,2914373,-1
439,1,STEP,10135381092296,10135383759614,2667318,-1
440,1,STEP,10135383822813,10135386130933,2308120,-1
441,1,STEP,10135386203159,10135388845720,2642561,-1
442,1,STEP,10135388917215,10135391312028,2394813,-1
443,1,STEP,10135391378373,10135394012308,2633935,-1
444,1,STEP,10135394075316,10135396304077,2228761,-1
445,1,STEP,10135396376373,10135399205075,2828702,-1
446,1,STEP,10135399266360,10135401460095,2193735,-1
447,1,STEP,10135401523424,10135404241096,2717672,-1
448,1,STEP,10135404302622,10135406932299,2629677,-1
449,1,STEP,10135406993003,10135409806647,2813644,-1
450,1,STEP,10135409875056,10135412408000,2532944,-1
451,1,STEP,10135412490926,10135415565100,3074174,-1
452,1,STEP,10135415627508,10135418117721,2490213,-1
453,1,STEP,10135418180059,10135421179212,2999153,-1
454,1,STEP,10135421240958,10135423161137,1920179,-1
455,1,STEP,10135423228674,10135425395338,2166664,-1
456,1,STEP,10135425464358,10135428193492,2729134,-1
457,1,STEP,10135428259146,10135431363667,3104521,-1
458,1,STEP,10135431451462,10135434346449,2894987,-1
459,1,STEP,10135434408897,10135436731835,2322938,-1
460,1,STEP,10135436801116,10135439469896,2668780,-1
461,1,STEP,10135439532013,10135442317593,2785580,-1
462,1,STEP,10135442381544,10135444991523,2609979,-1
463,1,STEP,10135445061184,10135447952464,2891280,-1
464,1,STEP,10135448022626,10135450411749,2389123,-1
465,1,STEP,10135450477383,10135453695328,3217945,-1
466,1,STEP,10135453763546,10135456388424,2624878,-1
467,1,STEP,10135456450691,10135459261919,2811228,-1
468,1,STEP,10135459330789,10135462135986,2805197,-1
469,1,STEP,10135462204506,10135464763419,2558913,-1
470,1,STEP,10135464827931,10135467122205,2294274,-1
471,1,STEP,10135467189231,10135469517900,2328669,-1
472,1,STEP,10135469585748,10135472225594,2639846,-1
473,1,STEP,10135472307288,10135474684839,2377551,-1
474,1,STEP,10135474747276,10135477412911,2665635,-1
475,1,STEP,10135477494384,10135480373621,2879237,-1
476,1,STEP,10135480444144,10135482985233,2541089,-1
477,1,STEP,10135483050296,10135486109141,3058845,-1
478,1,STEP,10135486175847,10135488600346,2424499,-1
479,1,STEP,10135488674065,10135491391066,2717001,-1
480,1,STEP,10135491462732,10135493863557,2400825,-1
481,1,STEP,10135493941804,10135496733186,2791382,-1
482,1,STEP,10135496809119,10135499609777,2800658,-1
483,1,STEP,10135499677445,10135502536243,2858798,-1
484,1,STEP,10135502596306,10135505506141,2909835,-1
485,1,STEP,10135505596761,10135508156887,2560126,-1
486,1,STEP,10135508242829,10135511162612,2919783,-1
487,1,STEP,10135511255617,10135513518542,2262925,-1
488,1,STEP,10135513606488,10135516023934,2417446,-1
489,1,STEP,10135516090500,10135518785659,2695159,-1
490,1,STEP,10135518854188,10135522020196,3166008,-1
491,1,STEP,10135522106859,10135524635095,2528236,-1
492,1,STEP,10135524708313,10135527425584,2717271,-1
493,1,STEP,10135527509102,10135530311423,2802321,-1
494,1,STEP,10135530383650,10135533451221,3067571,-1
495,1,STEP,10135533539808,10135536554671,3014863,-1
496,1,STEP,10135536633940,10135539621210,2987270,-1
497,1,STEP,10135539693446,10135542193478,2500032,-1
498,1,STEP,10135542274972,10135544762691,2487719,-1
499,1,STEP,10135544848743,10135547382909,2534166,-1
500,1,STEP,10135547451959,10135549787962,2336003,-1
501,1,STEP,10135549857964,10135552601926,2743962,-1
502,1,STEP,10135552671488,10135555643549,2972061,-1
503,1,STEP,10135555709654,10135558189798,2480144,-1
504,1,STEP,10135558255683,10135560534317,2278634,-1
505,1,STEP,10135560596134,10135563216082,2619948,-1
506,1,STEP,10135563287236,10135565806765,2519529,-1
507,1,STEP,10135565880684,10135568945921,3065237,-1
508,1,STEP,10135569013469,10135571327640,2314171,-1
509,1,STEP,10135571396530,10135573990870,2594340,-1
